exchange_id,website,name,data_start,data_end,data_quote_start,data_quote_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd
ECB,https://www.ecb.europa.eu/,European Central Bank,2020-08-31,2022-03-18,2020-08-31T00:00:00.0000000Z,2022-03-18T14:00:00.0000000Z,32,0,0,0
BINANCE,https://www.binance.com/,Binance,2017-07-14,2022-03-21,2017-12-18T21:50:58.3910192Z,2022-03-21T06:15:36.3252430Z,1992,601319713.24,14987293463.9,499210797668.34
KRAKEN,https://www.kraken.com/,Kraken,2013-10-22,2022-03-21,2014-07-31T13:05:46.0000000Z,2022-03-21T06:15:36.9006286Z,581,14505874.52,584813130.08,29908775600.5
COINBASE,https://pro.coinbase.com/,Coinbase Pro (GDAX),2015-01-14,2022-03-21,2015-05-17T00:51:32.6370000Z,2022-03-21T06:15:35.3670860Z,514,70380495.64,2348747411.19,93046933393.19
BITSTAMP,https://www.bitstamp.net/,Bitstamp Ltd.,2011-09-13,2022-03-21,2014-02-24T17:43:05.0000000Z,2022-03-21T06:15:22.2660000Z,149,3152365.66,132500610.45,8206004271.59
GEMINI,https://gemini.com/,Gemini,2015-10-08,2022-03-21,2017-03-18T22:53:42.0948480Z,2022-03-21T06:15:34.4230000Z,121,1065799.29,29553274.79,2565819727.6
LMAXDIGITAL,https://www.lmaxdigital.com/,LMAX Digital,2021-04-12,2022-03-21,2021-04-12T23:46:45.6180000Z,2022-03-21T06:13:35.1950000Z,16,29801986.83,177299787.79,10408182943.18
OKCOINCNY,https://www.okcoin.cn/,OKCoin CNY,2013-06-12,2018-03-09,2015-02-15T12:53:50.3430000Z,2018-03-09T23:34:52.5800000Z,2,0,0,0
HUOBI,https://www.huobi.us/,Huobi (HBUS),2015-03-29,2020-03-30,2015-03-29T21:46:06.2630000Z,2020-03-30T08:40:10.1306733Z,777,0,0,0
BITTREX,https://bittrex.com/,Bittrex,2017-01-26,2022-03-21,2017-03-14T20:03:47.4782440Z,2022-03-21T06:15:37.2364189Z,1625,4217473368.28,66054911447.54,2011016578801.5
POLONIEX,https://poloniex.com/,POLONIEX,2016-05-29,2022-03-21,2016-06-12T11:53:38.1523879Z,2022-03-21T06:15:35.2560000Z,715,3457367.4,831996884.27,756873933450.18
BITFINEX,https://www.bitfinex.com/,Bitfinex,2013-01-14,2022-03-21,2014-02-24T17:43:05.0000000Z,2022-03-21T06:15:37.4439525Z,779,37030748.17,981246109.58,46427296719.54
HUOBIPRO,https://www.hbg.com/,Huobi Global,2018-01-22,2022-03-21,2018-01-24T00:22:17.2456560Z,2022-03-21T06:15:36.0205387Z,1190,49082755.99,1473804932.39,9418334311908.58
HITBTC,https://hitbtc.com/,HitBTC,2013-12-27,2022-03-21,2017-03-18T22:53:44.4091161Z,2022-03-21T06:15:37.4330000Z,2456,107136830.29,3314356167.93,145595087878.87
BTCCHINA,https://www.btcchina.com/,BTCCHINA,2011-06-13,2019-02-06,2015-03-29T04:20:18.0000000Z,2019-02-06T15:48:55.5557396Z,3,0,0,0
BITFLYER,https://bitflyer.jp/,bitFlyer (replaced by BITFLYERLTNG),2017-11-28,2020-07-26,2017-11-29T01:10:28.2891461Z,2020-07-26T21:52:04.1273385Z,136,0,0,0
BITHUMB,https://www.bithumb.com/,BITHUMB,2017-09-21,2022-03-21,2017-09-21T13:50:30.0371289Z,2022-03-21T06:15:35.4018646Z,276,70632130.33,1726617196.54,26412283872.32
COINONE,https://coinone.co.kr/,coinone,2017-09-20,2022-03-20,2017-09-21T13:36:45.5891048Z,2022-03-20T14:33:14.1964688Z,9,0,13785734.72,2169566495.57
OKEX,https://www.okex.com/,OKEx,2017-12-01,2022-03-17,2017-12-18T21:01:51.6121385Z,2022-03-10T21:10:06.5750000Z,21967,0,0,4065168547622.02
OKCOINUSD,https://www.okcoin.com/,OKCoin USD,2015-02-14,2022-03-21,2015-02-15T12:53:46.6330000Z,2022-03-21T06:15:34.4890000Z,90,291362.32,22193968.29,232061803.08
BTCTRADE,https://www.btctrade.com/,BTCTRADE,2015-05-17,2019-02-06,2015-05-17T14:57:14.3470000Z,2019-02-06T15:50:53.7510625Z,6,0,0,0
BITMEX,https://www.bitmex.com/,BitMEX,2014-11-22,2022-03-21,2014-11-22T16:58:47.8820780Z,2022-03-21T06:15:32.1889152Z,370,2346378247820.14,65611605707807.5,1456388919400150.2
KUCOIN,https://kucoin.com/,Kucoin,2018-01-24,2022-03-21,2018-01-24T00:22:08.7776711Z,2022-03-21T06:15:37.6887923Z,1564,50795531.17,1374151309.07,83687430013.36
ITBIT,https://www.itbit.com/,itBit,2013-08-25,2022-03-21,2015-05-26T18:24:28.9330000Z,2022-03-21T06:11:27.9825471Z,9,110097.0,11549632.57,616991230.9
DERIBIT,https://www.deribit.com/,Deribit,2016-12-02,2022-03-21,2017-03-14T20:03:36.9946659Z,2022-03-21T06:15:34.4902831Z,69247,23980365792.47,1483254079652.36,102083471162612.9
BITBAY, https://zondaglobal.com/,Zonda (BitBay),2014-03-29,2022-02-14,2017-08-29T15:47:11.6744609Z,2022-02-14T19:10:45.8910000Z,259,0,0,0
BIBOX,https://www.bibox.com/,Bibox,2018-11-20,2022-03-21,2018-11-27T00:44:52.1671444Z,2022-03-21T06:15:35.3255111Z,856,21465261135.35,535764014900.41,15002287232908.49
UPBIT,https://upbit.com/,UPbit Korea,2018-08-20,2022-03-21,2018-08-20T23:03:42.8653704Z,2022-03-21T06:15:37.9600000Z,530,28838203.25,1072976934.16,32021513672.69
BINANCEUS,https://www.binance.us/,Binance US,2019-10-09,2022-03-21,2019-10-09T13:14:23.9239466Z,2022-03-21T06:15:37.3549640Z,195,6575711.17,226130252.0,9441522002.56
CRYPTOPIA,https://www.cryptopia.co.nz/,Cryptopia,2014-12-07,2019-05-14,2017-03-14T20:03:49.1491232Z,2019-05-14T04:39:36.3417482Z,4659,0,0,0
COINCHECK,https://coincheck.com/,coincheck,2017-03-14,2022-03-21,2017-03-14T20:03:20.5307029Z,2022-03-21T06:13:30.4649226Z,13,0,0,0
LIQUI,https://liqui.io/,Liqui,2016-09-08,2019-03-19,2017-09-21T13:45:51.3610312Z,2019-03-19T15:22:49.3593353Z,488,0,0,0
EXMO,https://exmo.com/,EXMO,2016-02-17,2022-03-21,2017-03-14T20:04:15.0007802Z,2022-03-21T06:15:36.2280335Z,263,1515123.03,34216161.3,2210894208.77
CHBTC,https://www.chbtc.com/,CHBTC,2015-05-18,2019-02-06,2015-05-19T14:31:56.5100000Z,2019-02-06T15:52:49.1677389Z,12,0,0,0
JUBI,https://www.jubi.com/,Jubi,2014-12-31,2019-04-15,2017-03-18T22:53:36.0065489Z,2019-04-15T21:16:24.2699920Z,41,0,0,0
ZAIF,https://zaif.jp/,Zaif,2017-11-08,2022-03-21,2017-12-28T21:48:26.7161574Z,2022-03-21T06:14:55.7516428Z,34,270003.09,3152053.5,99942451.45
KORBIT,https://www.korbit.co.kr/,Korbit,2013-09-03,2022-03-21,2017-03-18T22:53:39.4192811Z,2022-03-21T06:15:16.7447764Z,94,0,0,0
BTC38,http://www.btc38.com,BTC38,2017-03-16,2018-01-09,2017-03-18T22:53:45.3558927Z,2018-01-09T00:02:43.5604799Z,53,0,0,0
MTGOX,https://www.mtgox.com/,mtgox,2010-07-17,2014-02-25,-,-,15,0,0,0
LAKEBTC,https://www.lakebtc.com/,LakeBTC,2014-03-01,2021-08-01,2017-03-18T22:53:40.7300076Z,2021-08-01T09:00:00.2233333Z,10,0,0,0
BLEUTRADE,https://bleutrade.com,Bleutrade,2017-02-16,2021-10-03,2017-03-14T20:04:25.7449674Z,2021-10-03T13:51:30.0440122Z,399,0,0,0
BITCOINID,https://indodax.com/,Indodax,2018-01-05,2022-03-21,2018-01-05T15:56:05.6259966Z,2022-03-21T06:15:38.0116066Z,21,142931.44,4092850.23,215529933.73
TIDEX,https://tidex.com/,Tidex,2017-02-10,2022-03-21,2017-12-28T21:49:03.2916366Z,2022-03-21T06:10:36.5757258Z,421,2848.94,55978.63,900280300.59
ACX,https://acx.io/,ACX,2017-09-13,2021-12-09,2017-09-21T13:50:21.9301963Z,2021-12-09T23:16:36.9372028Z,38,0,0,0
